"_id","fontsize","symbolsize","useSymbols","symbolSet","useE2r","useAudio","canClick","theme","created","symbolsizeMin","rev","navigator_appCodeName","navigator_appName","navigator_appVersion","navigator_language","navigator_platform","navigator_product","navigator_userAgent","navigator_vendor","navigator_vendorSub","themeDetails_ffDefault","themeDetails_fwDefault","themeDetails_fsDefault","themeDetails_cornerRadius","themeDetails_bgColorHeader","themeDetails_bgImgOpacityHeader","themeDetails_borderColorHeader","themeDetails_fcHeader","themeDetails_iconColorHeader","themeDetails_bgColorContent","themeDetails_bgImgOpacityContent","themeDetails_borderColorContent","themeDetails_fcContent","themeDetails_iconColorContent","themeDetails_bgColorDefault","themeDetails_bgImgOpacityDefault","themeDetails_borderColorDefault","themeDetails_fcDefault","themeDetails_iconColorDefault","themeDetails_bgColorHover","themeDetails_bgImgOpacityHover","themeDetails_borderColorHover","themeDetails_fcHover","themeDetails_iconColorHover","themeDetails_bgColorActive","themeDetails_bgImgOpacityActive","themeDetails_borderColorActive","themeDetails_fcActive","themeDetails_iconColorActive","themeDetails_bgColorHighlight","themeDetails_bgImgOpacityHighlight","themeDetails_borderColorHighlight","themeDetails_fcHighlight","themeDetails_iconColorHighlight","themeDetails_bgColorError","themeDetails_bgImgOpacityError","themeDetails_borderColorError","themeDetails_fcError","themeDetails_iconColorError","themeDetails_bgColorOverlay","themeDetails_bgImgOpacityOverlay","themeDetails_opacityOverlay","themeDetails_bgColorShadow","themeDetails_bgImgOpacityShadow","themeDetails_opacityShadow","themeDetails_thicknessShadow","themeDetails_offsetTopShadow","themeDetails_offsetLeftShadow","themeDetails_cornerRadiusShadow","symbolsizedetectDetails_sizes","symbolsizedetectDetails_size0_score","symbolsizedetectDetails_size0_reactionTimeAverage","symbolsizedetectDetails_size0_moveTimeAverage","symbolsizedetectDetails_size0_reactionTimeStDev","symbolsizedetectDetails_size0_moveTimeStDev","symbolsizedetectDetails_size0_size","symbolsizedetectDetails_size1_score","symbolsizedetectDetails_size1_reactionTimeAverage","symbolsizedetectDetails_size1_moveTimeAverage","symbolsizedetectDetails_size1_reactionTimeStDev","symbolsizedetectDetails_size1_moveTimeStDev","symbolsizedetectDetails_size1_size","symbolsizedetectDetails_size2_score","symbolsizedetectDetails_size2_reactionTimeAverage","symbolsizedetectDetails_size2_moveTimeAverage","symbolsizedetectDetails_size2_reactionTimeStDev","symbolsizedetectDetails_size2_moveTimeStDev","symbolsizedetectDetails_size2_size","symbolsizedetectDetails_size3_score","symbolsizedetectDetails_size3_reactionTimeAverage","symbolsizedetectDetails_size3_moveTimeAverage","symbolsizedetectDetails_size3_reactionTimeStDev","symbolsizedetectDetails_size3_moveTimeStDev","symbolsizedetectDetails_size3_size","read_fullTime","read_symbol2word_correct","read_symbol2word_wrong","read_symbol2word_score","read_symbol2word_times_average","read_symbol2word_times_variance","read_symbol2word_times_standardDeviation","read_word2symbol_correct","read_word2symbol_wrong","read_word2symbol_score","read_word2symbol_times_average","read_word2symbol_times_variance","read_word2symbol_times_standardDeviation","symbolunderstanding_fullTime","symbolunderstanding_symbolunderstanding_correct","symbolunderstanding_symbolunderstanding_wrong","symbolunderstanding_symbolunderstanding_score","symbolunderstanding_symbolunderstanding_times_average","symbolunderstanding_symbolunderstanding_times_variance","symbolunderstanding_symbolunderstanding_times_standardDeviation","lookforcorrect_fullTime","lookforcorrect_color_correct","lookforcorrect_color_wrong","lookforcorrect_color_score","lookforcorrect_color_times_average","lookforcorrect_color_times_variance","lookforcorrect_color_times_standardDeviation","lookforcorrect_b&w_correct","lookforcorrect_b&w_wrong","lookforcorrect_b&w_score","lookforcorrect_b&w_times_average","lookforcorrect_b&w_times_variance","lookforcorrect_b&w_times_standardDeviation","dimensions_zoom","dimensions_width","dimensions_height","_deleted_conflicts_0","symbolsizedetectDetails_size4_score","symbolsizedetectDetails_size4_reactionTimeAverage","symbolsizedetectDetails_size4_moveTimeAverage","symbolsizedetectDetails_size4_reactionTimeStDev","symbolsizedetectDetails_size4_moveTimeStDev","symbolsizedetectDetails_size4_size","symbolsizedetectDetails_size5_score","symbolsizedetectDetails_size5_reactionTimeAverage","symbolsizedetectDetails_size5_moveTimeAverage","symbolsizedetectDetails_size5_reactionTimeStDev","symbolsizedetectDetails_size5_moveTimeStDev","symbolsizedetectDetails_size5_size","symbolsizedetectDetails_size6_score","symbolsizedetectDetails_size6_reactionTimeAverage","symbolsizedetectDetails_size6_moveTimeAverage","symbolsizedetectDetails_size6_reactionTimeStDev","symbolsizedetectDetails_size6_moveTimeStDev","symbolsizedetectDetails_size6_size","wordmatch_su_correct","wordmatch_su_wrong","wordmatch_su_score","wordmatch_su_times_average","wordmatch_su_times_variance","wordmatch_su_times_standardDeviation"
"0","s1","medium","true","capkom","true","","true","UI darkness","2012-10-29T12:38:25.009Z","96","1-d58450eac2562e3135ed8d4eab320e4f","Mozilla","Netscape","5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.40 Safari/537.11","en-US","Linux x86_64","Gecko","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.40 Safari/537.11","Google Inc.","","Segoe UI, Arial, sans-serif","bold","1.1em","6px","333333","25","333333","ffffff","ffffff","000000","25","666666","ffffff","cccccc","555555","20","666666","eeeeee","cccccc","0078a3","40","59b4d4","ffffff","ffffff","f58400","30","ffaf0f","ffffff","222222","eeeeee","80","cccccc","2e7db2","4b8e0b","ffc73d","40","ffb73d","111111","a83300","5c5c5c","50","80","cccccc","30","60","7px","-7px","-7px","8px","4","0.8","47","709","2.5","14","242","0.6","14","1250","","","161","0.6","70","1139","","","121","0.8","51","805","34.5","2.5","96","19493","3","","1","1174","","","3","","1","1300","","","15723","5","","1","1153.6666666666667","10192.888888888889","100.95983799951784","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UT-1","s1","medium","true","capkom","true","","true","UI darkness","2012-10-29T13:12:33.943Z","93","","Mozilla","Netscape","5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.40 Safari/537.11","en-US","Linux x86_64","Gecko","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.40 Safari/537.11","Google Inc.","","Segoe UI, Arial, sans-serif","bold","1.1em","6px","333333","25","333333","ffffff","ffffff","000000","25","666666","ffffff","cccccc","555555","20","666666","eeeeee","cccccc","0078a3","40","59b4d4","ffffff","ffffff","f58400","30","ffaf0f","ffffff","222222","eeeeee","80","cccccc","2e7db2","4b8e0b","ffc73d","40","ffb73d","111111","a83300","5c5c5c","50","80","cccccc","30","60","7px","-7px","-7px","8px","4","1","638","1163","99.09927682211746","74.12302086546542","234","1","629","1165","35.81433604950212","197.86583557776942","156","1","532","1169","42.695302890234764","59.90548110704618","117","1","462","1195","42.7629122799964","127.25826757687166","93","19928","3","","1","1637","","","3","","1","929","","","17620","5","","1","1412.3333333333333","55086.8888888889","234.70596261895201","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UT-10","s2","medium","true","capkom","true","","true","UI darkness","","170","","Mozilla","Netscape","5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.52 Safari/537.11","en-US","Linux x86_64","Gecko","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.52 Safari/537.11","Google Inc.","","Segoe UI, Arial, sans-serif","bold","1.1em","6px","333333","25","333333","ffffff","ffffff","000000","25","666666","ffffff","cccccc","555555","20","666666","eeeeee","cccccc","0078a3","40","59b4d4","ffffff","ffffff","f58400","30","ffaf0f","ffffff","222222","eeeeee","80","cccccc","2e7db2","4b8e0b","ffc73d","40","ffb73d","111111","a83300","5c5c5c","50","80","cccccc","30","60","7px","-7px","-7px","8px","3","1","156","714","47.21816976075582","120.60127141397253","213","0.6","148","1171","","","170","0.2","","","","","142","","","","","","","29353","3","2","0.6","2649","","","3","","1","1512","","","16260","5","","1","1308.6666666666667","20937.555555555555","144.6981532555117","26237","3","","1","2531","","","3","","1","2121","","","1.1","1469","875","","","","","","","","","","","","","","","","","","","","","","","","",""
"UT-11","s4","medium","true","capkom","true","true","true","UI darkness","2012-11-05T15:09:26.442Z","222","","Mozilla","Netscape","5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.52 Safari/537.11","en-US","Linux x86_64","Gecko","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.52 Safari/537.11","Google Inc.","","Segoe UI, Arial, sans-serif","bold","1.1em","6px","333333","25","333333","ffffff","ffffff","000000","25","666666","ffffff","cccccc","555555","20","666666","eeeeee","cccccc","0078a3","40","59b4d4","ffffff","ffffff","f58400","30","ffaf0f","ffffff","222222","eeeeee","80","cccccc","2e7db2","4b8e0b","ffc73d","40","ffb73d","111111","a83300","5c5c5c","50","80","cccccc","30","60","7px","-7px","-7px","8px","2","1","90","1129","54.668699149208464","59.200225224796796","222","0.2","","","","","178","","","","","","","","","","","","","23664","3","","1","1669","","","3","","1","1215","","","16986","5","","1","1396","602","24.535688292770594","26994","3","","1","2174","","","3","","1","1930","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UT-12","s2","medium","true","capkom","true","","true","UI lightness","2012-11-06T22:49:40.031Z","235","","Mozilla","Netscape","5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.52 Safari/537.11","en-US","Linux x86_64","Gecko","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.52 Safari/537.11","Google Inc.","","Trebuchet MS, Tahoma, Verdana, Arial, sans-serif","bold","1.1em","4px","f6a828","35","e78f08","ffffff","ffffff","eeeeee","100","dddddd","333333","222222","f6f6f6","100","cccccc","1c94c4","ef8c08","fdf5ce","100","fbcb09","c77405","ef8c08","ffffff","65","fbd850","eb8f00","ef8c08","ffe45c","75","fed22f","363636","228ef1","b81900","18","cd0a0a","ffffff","ffd27a","666666","20","50","000000","10","20","5px","-5px","-5px","5px","3","0.8","436","4943","337.7284412068371","6214.802626592416","235","1","87","739","16.81930108205715","81.77339964125797","234","0.4","331","2620","306","1029.5","176","","","","","","","23762","3","","1","1992.3333333333333","36163.555555555555","190.16717791342322","3","","1","2000.6666666666667","269920.8888888889","519.5391119914735","21261","5","","1","2219","364794","603.9817878048973","22673","3","","1","1600","44840.666666666664","211.75614906459427","3","","1","2059.3333333333335","201451.5555555556","448.8335499442478","","","","2-e992cf8e1bb4efe042a9227a4d4a35a7","","","","","","","","","","","","","","","","","","","","","","","",""
"UT-13","s2","medium","true","capkom","true","","true","UI darkness","","225","","Mozilla","Netscape","5.0 (X11)","en-US","Linux x86_64","Gecko","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:16.0) Gecko/20100101 Firefox/16.0","","","Segoe UI, Arial, sans-serif","bold","1.1em","6px","333333","25","333333","ffffff","ffffff","000000","25","666666","ffffff","cccccc","555555","20","666666","eeeeee","cccccc","0078a3","40","59b4d4","ffffff","ffffff","f58400","30","ffaf0f","ffffff","222222","eeeeee","80","cccccc","2e7db2","4b8e0b","ffc73d","40","ffb73d","111111","a83300","5c5c5c","50","80","cccccc","30","60","7px","-7px","-7px","8px","2","0.8","344","1508","257.38978223698","509.19838962824696","225","","","","","","180","","","","","","","","","","","","","44567","3","","1","3172","2982690.6666666665","1727.046805001725","3","","1","7053.666666666667","23904872.222222224","4889.260907562842","22640","5","","1","1933.3333333333333","17061.555555555555","130.61988958637025","48338","3","","1","4771.333333333333","8024067.555555555","2832.6785125664287","3","","1","4961.666666666667","11940108.222222224","3455.4461683293844","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UT-14","s5","medium","true","capkom","true","true","","UI darkness","","88","","Mozilla","Netscape","5.0 (Linux; U; Android 4.0.4; de-de; GT-P7510 Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30","de-DE","Linux armv7l","Gecko","Mozilla/5.0 (Linux; U; Android 4.0.4; de-de; GT-P7510 Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30","Google Inc.","","Segoe UI, Arial, sans-serif","bold","1.1em","6px","333333","25","333333","ffffff","ffffff","000000","25","666666","ffffff","cccccc","555555","20","666666","eeeeee","cccccc","0078a3","40","59b4d4","ffffff","ffffff","f58400","30","ffaf0f","ffffff","222222","eeeeee","80","cccccc","2e7db2","4b8e0b","ffc73d","40","ffb73d","111111","a83300","5c5c5c","50","80","cccccc","30","60","7px","-7px","-7px","8px","5","1","1308","78","84.24962907930218","28.75567576825293","266","1","1301","58","91.58359872573011","2.160246899469287","177","1","1343","56","75.21229213957575","1.632993161855452","133","1","1301","57","41.15823125451335","1.247219128924647","106","45738","3","","1","5915.333333333333","3799704.8888888895","1949.2831730892485","3","","1","4796.666666666667","4641221.555555556","2154.3494506591906","31436","5","","1","2958.6666666666665","275650.8888888889","525.0246555057095","53970","3","","1","6538.333333333333","1246192.888888889","1116.33009853219","3","","1","6875.666666666667","5342891.555555556","2311.469566218763","1.3061224489795917","980","1631","","1","1646","57","164.78066229587338","0.4714045207910317","88","","","","","","","","","","","","","","","","","",""
"UT-15","s2","medium","true","capkom","true","","true","UI darkness","","180","","Mozilla","Netscape","5.0 (X11)","en-US","Linux x86_64","Gecko","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:16.0) Gecko/20100101 Firefox/16.0","","","Segoe UI, Arial, sans-serif","bold","1.1em","6px","333333","25","333333","ffffff","ffffff","000000","25","666666","ffffff","cccccc","555555","20","666666","eeeeee","cccccc","0078a3","40","59b4d4","ffffff","ffffff","f58400","30","ffaf0f","ffffff","222222","eeeeee","80","cccccc","2e7db2","4b8e0b","ffc73d","40","ffb73d","111111","a83300","5c5c5c","50","80","cccccc","30","60","7px","-7px","-7px","8px","3","1","58","822","7.039570693980959","19.189117286165672","225","1","99","814","22.425184255405547","60.13872850889572","180","0.2","67","1052","","","150","","","","","","","","","","","","","","","","","","","","17506","5","","1","1469.3333333333333","10352.888888888889","101.74914687057031","29050","3","1","0.75","3841.3333333333335","9331080.22222222","3054.681689181742","3","","1","1794","29344.666666666668","171.30285072545252","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UT-16","s3","medium","true","capkom","true","","true","UI darkness","","164","","Mozilla","Microsoft Internet Explorer","5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C; Tablet PC 2.0)","","Win32","","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C; Tablet PC 2.0)","","","Segoe UI, Arial, sans-serif","bold","1.1em","6px","333333","25","333333","ffffff","ffffff","000000","25","666666","ffffff","cccccc","555555","20","666666","eeeeee","cccccc","0078a3","40","59b4d4","ffffff","ffffff","f58400","30","ffaf0f","ffffff","222222","eeeeee","80","cccccc","2e7db2","4b8e0b","ffc73d","40","ffb73d","111111","a83300","5c5c5c","50","80","cccccc","30","60","7px","-7px","-7px","8px","4","1","5","1149","1.247219128924647","53.85783756025363","246","0.6","5","1951","1.247219128924647","494.92019558712695","197","0.6","5","2070","0.4714045207910317","241.98117465804833","164","0.4","6","2681","0.5","1136.5","140","22008","3","","1","1296","6738.666666666667","82.0893821798329","3","","1","1669.3333333333333","13110.222222222224","114.49987869959611","21755","5","","1","1870","37544.666666666664","193.7644618258639","47989","3","","1","5607","7695624.666666667","2774.098892733759","3","","1","5999.666666666667","6756838.222222221","2599.3918946981084","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UT-17","s1","medium","true","default","true","","true","UI darkness","","94","","Mozilla","Microsoft Internet Explorer","4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; GTB7.4; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C)","","Win32","","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; GTB7.4; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C)","","","Segoe UI, Arial, sans-serif","bold","1.1em","6px","333333","25","333333","ffffff","ffffff","000000","25","666666","ffffff","cccccc","555555","20","666666","eeeeee","cccccc","0078a3","40","59b4d4","ffffff","ffffff","f58400","30","ffaf0f","ffffff","222222","eeeeee","80","cccccc","2e7db2","4b8e0b","ffc73d","40","ffb73d","111111","a83300","5c5c5c","50","80","cccccc","30","60","7px","-7px","-7px","8px","7","1","93","1131","4.784233364802441","200.91512857146645","236","1","59","804","2.943920288775949","94.37160589923221","189","0.6","60","1010","10.208928554075703","393.75316577210594","157","0.6","63","2180","12.832251036613439","646.7572101560901","135","","","","","","","","","","","","","","32333","5","","1","2860","124722.66666666667","353.1609642452952","33730","3","","1","2335","63848.666666666664","252.68293703110754","3","","1","2970","822816.6666666666","907.0924245448567","0.8958333333333334","2143","950","","1","84","1038","13.140268896284683","87.3040663428686","118","1","155","1898","8.65383665716478","301.78174600565586","105","0.8","147","1777","24.155744658362327","568.0327345320866","94","","","","","",""
